wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
tho,thp,thom1243,Thompson,49.75,-121.75,Interior Salish,Salishan,__
thp,typ,thay1248,Thaypan,-14.8333333333,143.166666667,Pama-Nyungan,Australian,__
ths,tsq,thai1240,Thai Sign Language,15.0,101.0,Sign Languages,other,__
tht,kps,tehi1237,Tehit,-1.5,132.0,West Bird's Head,West Papuan,__
thu,tdh,thul1246,Thulung,27.4166666667,86.5,Mahakiranti,Sino-Tibetan,Tibeto-Burman
thw,ssf,thao1240,Thao,23.8833333333,120.916666667,Western Plains Austronesian,Austronesian,__
thy,thd,thay1249,Kuuk Thaayorre,-14.5833333333,141.833333333,Pama-Nyungan,Australian,__
tia,tms,tima1241,Tima,11.6666666667,29.25,Katla-Tima,Niger-Congo,Kordofanian
tib,bod,tibe1272,Tibetan (Standard Spoken),30.0,91.0,Bodic,Sino-Tibetan,Tibeto-Burman
tic,tca,ticu1245,Ticuna,-4.0,-70.5,Ticuna,Ticuna,__
tid,tvo,tido1248,Tidore,0.75,127.5,North Halmaheran,West Papuan,__
tif,tif,tifa1245,Tifal,-5.0,141.333333333,Ok,Trans-New Guinea,__
tig,tir,tigr1271,Tigrinya,14.5,38.5,Semitic,Afro-Asiatic,__
tik,tik,tika1246,Tikar,5.83333333333,11.6666666667,Bantoid,Niger-Congo,Benue-Congo
til,til,till1254,Tillamook,45.3333333333,-123.75,Tillamook,Salishan,__
tim,tih,timu1262,Timugon,5.0,116.0,North Borneo,Austronesian,__
tin,cir,tiri1258,Tinrin,-21.6666666667,165.75,Oceanic,Austronesian,Eastern Malayo-Polynesian
tir,tri,trio1238,Tiriyo,3.25,-55.75,Cariban,Cariban,__
tis,bod,tibe1272,Tibetan (Shigatse),29.0,89.0,Bodic,Sino-Tibetan,Tibeto-Burman
tiv,tiv,tivv1240,Tiv,7.5,9.0,Bantoid,Niger-Congo,Benue-Congo
tiw,tiw,tiwi1244,Tiwi,-11.5,131.0,Tiwian,Australian,__
tja,dih,kumi1248,Tiipay (Jamul),32.1666666667,-116.5,Yuman,Hokan,__
tke,tkl,toke1240,Tokelauan,-9.0,-172.0,Oceanic,Austronesian,Eastern Malayo-Polynesian
tki,bag,tuki1240,Tuki,4.58333333333,11.5,Bantoid,Niger-Congo,Benue-Congo
tkl,tkm,take1257,Takelma,42.5,-123.0,Takelma,Takelma,__
tkm,tuk,turk1304,Turkmen,40.0,58.0,Turkic,Altaic,__
tks,kkw,teke1280,Teke (Southern),-2.33333333333,14.5,Bantoid,Niger-Congo,Benue-Congo
tla,ksd,kuan1248,Tolai,-4.25,152.083333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
tlb,nog,noga1249,Tatar-Noghay (Alabugat),47.4166666667,45.6666666667,Turkic,Altaic,__
tld,tld,tala1285,Talaud,4.25,126.75,Sangiric,Austronesian,__
tlf,tlf,tele1256,Telefol,-5.0,141.75,Ok,Trans-New Guinea,__
tli,tli,tlin1245,Tlingit,59.0,-135.0,Tlingit,Na-Dene,__
tll,tuh,taul1251,Taulil,-4.41666666667,152.083333333,Taulil,Baining-Taulil,__
tlo,tlb,tobe1252,Tobelo,1.5,128.5,North Halmaheran,West Papuan,__
tlp,tcf,acat1239,Tlapanec,17.0833333333,-99.0,Subtiaba-Tlapanec,Oto-Manguean,__
tls,tly,taly1247,Talysh (Southern),37.0,49.0,Iranian,Indo-European,__
tma,tma,tama1331,Tama,14.5,22.0,Taman,Nilo-Saharan,Eastern Sudanic
tmc,tjm,timu1245,Timucua,30.25,-82.5,Timucua,Timucua,__
tmg,tcg,tama1336,Tamagario,-6.41666666667,139.25,Kayagar,Kayagar,__
tmi,tat,tata1255,Tatar (Mishar),55.5,49.0,Turkic,Altaic,__
tmk,tmc,tuma1260,Tumak,9.5,17.3333333333,East Chadic,Afro-Asiatic,Chadic
tml,tam,tami1289,Tamil,11.0,78.5,Southern Dravidian,Dravidian,__
tmm,mla,malo1243,Tamabo,-15.6666666667,167.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
tmn,teq,nucl1339,Temein,11.9166666667,29.4166666667,Temein,Nilo-Saharan,Eastern Sudanic
tmo,bod,tibe1272,Tibetan (Modern Literary),29.8333333333,91.5,Bodic,Sino-Tibetan,Tibeto-Burman
tmp,tpm,tamp1252,Tampulma,10.4166666667,-0.583333333333,Gur,Niger-Congo,__
tmr,tea,temi1246,Temiar,5.0,101.5,Aslian,Austro-Asiatic,Mon-Khmer
tms,_46,,Tommo So,15.0,-3.0,Dogon,Niger-Congo,__
tmu,ttt,musl1236,Tat (Muslim),41.25,48.75,Iranian,Indo-European,__
tna,tuv,turk1308,Turkana,3.0,35.5,Nilotic,Nilo-Saharan,Eastern Sudanic
tnb,tnd,ango1257,Tunebo,6.75,-72.25,Chibchan Proper,Chibchan,__
tnc,tcb,tana1290,Tanacross,63.5,-143.5,Athapaskan,Na-Dene,__
tnd,tin,tind1238,Tindi,42.3666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian
tne,tem,timn1235,Temne,8.66666666667,-13.0833333333,Mel,Niger-Congo,Atlantic
tng,ton,tong1325,Tongan,-21.1666666667,-175.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
tni,lbf,tina1246,Tinani,32.3333333333,77.1666666667,Bodic,Sino-Tibetan,Tibeto-Burman
tnj,tfn,tana1289,Tanaina,62.0,-150.0,Athapaskan,Na-Dene,__
tnk,lcm,tung1290,Tungak,-2.55,150.25,Oceanic,Austronesian,Eastern Malayo-Polynesian
