pk,id,name,ordinal_qualifier,# of languages
124,124A,'Want' Complement Subjects,A,283
125,125A,Purpose Clauses,A,170
126,126A,'When' Clauses,A,174
127,127A,Reason Clauses,A,169
128,128A,Utterance Complement Clauses,A,143
129,129A,Hand and Arm,A,617
130,130A,Finger and Hand,A,593
190,130B,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',B,72
131,131A,Numeral Bases,A,196
132,132A,Number of Non-Derived Basic Colour Categories,A,119
133,133A,Number of Basic Colour Categories,A,119
134,134A,Green and Blue,A,120
135,135A,Red and Yellow,A,120
136,136A,M-T Pronouns,A,230
184,136B,M in First Person Singular,B,230
137,137A,N-M Pronouns,A,230
183,137B,M in Second Person Singular,B,230
138,138A,Tea,A,230
139,139A,Irregular Negatives in Sign Languages,A,35
140,140A,Question Particles in Sign Languages,A,38
141,141A,Writing Systems,A,6
142,142A,Para-Linguistic Usages of Clicks,A,143
172,143A,Order of Negative Morpheme and Verb,A,1324
158,143B,Obligatory Double Negation,B,119
170,143C,Optional Double Negation,C,81
181,143D,Optional Triple Negation,D,6
169,143E,Preverbal Negative Morphemes,E,1324
143,143F,Postverbal Negative Morphemes,F,1324
180,143G,Minor morphological means of signaling negation,G,1324
152,144A,"Position of Negative Word With Respect to Subject, Object, and Verb",A,1189
163,144B,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,B,609
178,144C,Languages with different word order in negative clauses,C,28
167,144D,The Position of Negative Morphemes in SVO Languages,D,463
166,144E,Multiple Negative Constructions in SVO Languages,E,48
164,144F,Obligatory Double Negation in SVO languages,F,56
161,144G,Optional Double Negation in SVO languages,G,35
177,144H,NegSVO Order,H,420
156,144I,SNegVO Order,I,421
148,144J,SVNegO Order,J,446
162,144K,SVONeg Order,K,446
176,144L,The Position of Negative Morphemes in SOV Languages,L,572
159,144M,Multiple Negative Constructions in SOV Languages,M,54
149,144N,Obligatory Double Negation in SOV languages,N,45
174,144O,Optional Double Negation in SOV languages,O,31
147,144P,NegSOV Order,P,408
175,144Q,SNegOV Order,Q,408
157,144R,SONegV Order,R,411
150,144S,SOVNeg Order,S,489
179,144T,The Position of Negative Morphemes in Verb-Initial Languages,T,152
160,144U,Double negation in verb-initial languages,U,17
155,144V,Verb-Initial with Preverbal Negative,V,152
173,144W,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,W,151
151,144X,Verb-Initial with Clause-Final Negative,X,151
145,144Y,The Position of Negative Morphemes in Object-Initial Languages,Y,16
